total_accuracy,f1_whisper,recall_whisper,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.8786805555555557,0.8905222555222554,0.9524999999999999,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_5_date_2019-09-18
0.7180555555555556,0.7231746725496726,0.750625,whisper,54,27,27,26,0.2,5,5,5,20,Id3Estimator,None,experiment_5_date_2019-09-18
0.7112847222222223,0.7395134032634033,0.838125,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_5_date_2019-09-18
0.712951388888889,0.7317343073593073,0.783125,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-09-18
0.5337847222222222,0.21030802530802528,0.271875,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_5_date_2019-09-18
0.7557638888888889,0.7649754412254413,0.8162499999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_5_date_2019-09-18
0.7467013888888889,0.7535463841713842,0.786875,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_5_date_2019-09-18
0.7714930555555557,0.7517938311688311,0.7375,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_5_date_2019-09-18
0.7566319444444445,0.7648806055056055,0.8012499999999999,whisper,54,27,27,26,0.2,5,5,5,20,GaussianNB,None,experiment_5_date_2019-09-18
0.7347222222222223,0.7335508935508935,0.764375,whisper,54,27,27,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_5_date_2019-09-18
0.7773958333333333,0.7789502164502166,0.7962499999999999,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_5_date_2019-09-18
0.5454545454545454,0.7058823529411764,1.0,whisper,54,27,27,21,0.2,5,5,5,15,Sequential,model_layers=5
